iter	MultiClass
0	1.069092356
1	1.041268267
2	1.015121648
3	0.9905516881
4	0.9673946392
5	0.9454642327
6	0.9252787365
7	0.9066926306
8	0.8884931975
9	0.8708326467
10	0.854330094
11	0.8387150989
12	0.8238840067
13	0.8099216075
14	0.7963666428
15	0.783837632
16	0.7712415761
17	0.7592993455
18	0.7482445963
19	0.7374442461
20	0.7268786098
21	0.7167609532
22	0.707941952
23	0.6987730588
24	0.6903325838
25	0.6817400512
26	0.6729108372
27	0.6653266052
28	0.657392742
29	0.6499255607
30	0.6433421226
31	0.6362140148
32	0.6300032978
33	0.6232814851
34	0.6173146021
35	0.6117534347
36	0.6062168798
37	0.6006666376
38	0.5951264273
39	0.5901994967
40	0.5848443526
41	0.5800008828
42	0.5748433594
43	0.5700157098
44	0.5652170352
45	0.5609387041
46	0.5568922193
47	0.5526265337
48	0.5487517374
49	0.5453595168
50	0.5416882647
51	0.5383614034
52	0.5344424959
53	0.530537201
54	0.527216893
55	0.5240494205
56	0.5205069639
57	0.5173236566
58	0.5138248974
59	0.5109882491
60	0.508124167
61	0.5052153661
62	0.5020888853
63	0.499574486
64	0.496661687
65	0.4938755124
66	0.4915936645
67	0.4890801788
68	0.4868752484
69	0.4844634512
70	0.4818875169
71	0.479587829
72	0.4774311687
73	0.475188938
74	0.473267074
75	0.4710764357
76	0.4688898092
77	0.4671403785
78	0.465217086
79	0.4634139167
80	0.461430539
81	0.4589953652
82	0.457463708
83	0.4555806369
84	0.4537770467
85	0.4520352622
86	0.4505908182
87	0.4489500043
88	0.4469646864
89	0.4453191701
90	0.4436982594
91	0.4420302712
92	0.4406358518
93	0.4391414973
94	0.4378013267
95	0.436404781
96	0.4350235158
97	0.433654621
98	0.4322043086
99	0.4307105123
100	0.4292804767
101	0.4279435031
102	0.4263370885
103	0.4249991173
104	0.4236778069
105	0.4225714826
106	0.4213823855
107	0.419912247
108	0.4187341392
109	0.4175414708
110	0.4165499438
111	0.4152396571
112	0.4140569263
113	0.4125431349
114	0.4113419099
115	0.4101001845
116	0.4092664404
117	0.4083967662
118	0.4074864601
119	0.4062277289
120	0.4052080664
121	0.4036376244
122	0.4023857044
123	0.4013422106
124	0.4003184885
125	0.399487427
126	0.3986482573
127	0.3976604351
128	0.3966972798
129	0.3958390933
130	0.3951028934
131	0.3939702667
132	0.3927704065
133	0.3919791913
134	0.3911774733
135	0.3902078768
136	0.3895799061
137	0.3888572651
138	0.38789351
139	0.3868307419
140	0.386049765
141	0.3853654385
142	0.3845049065
143	0.3834931753
144	0.3826304627
145	0.3816264755
146	0.3809171294
147	0.380161514
148	0.3792489798
149	0.378250733
150	0.3771965525
151	0.3763629676
152	0.3757093085
153	0.3751795619
154	0.374124948
155	0.3732589746
156	0.3724764418
157	0.3714291595
158	0.370548953
159	0.3699120654
160	0.3693112246
161	0.3688645266
162	0.3680617085
163	0.3675866746
164	0.366519448
165	0.3654207329
166	0.3647228247
167	0.3641451844
168	0.3635366908
169	0.3626649604
170	0.3618012478
171	0.3612682429
172	0.360237453
173	0.3593833748
174	0.3587332543
175	0.3582027131
176	0.3578001594
177	0.3571872035
178	0.3562353533
179	0.3554069631
180	0.3546186427
181	0.3539657448
182	0.3532180888
183	0.3527554718
184	0.3523721487
185	0.3515043419
186	0.3506786228
187	0.3500237568
188	0.3495865377
189	0.3486990003
190	0.3479181088
191	0.3474742233
192	0.3468094137
193	0.3463065524
194	0.3457590077
195	0.3452029822
196	0.3445746416
197	0.3439011953
198	0.3432469268
199	0.3423716887
200	0.3419192698
201	0.3414871638
202	0.3412105782
203	0.3407103252
204	0.339662268
205	0.3392668302
206	0.3385441541
207	0.3379781076
208	0.3374179526
209	0.3370320374
210	0.3363700207
211	0.3354501244
212	0.3349820442
213	0.3343990884
214	0.3339693928
215	0.3333435063
216	0.3326769468
217	0.3321902106
218	0.3315717554
219	0.3308037391
220	0.3302526999
221	0.3297437182
222	0.3291494319
223	0.328763826
224	0.3283433341
225	0.3280499036
226	0.3275911501
227	0.3270766224
228	0.3263149143
229	0.3257429729
230	0.3252458801
231	0.3248688127
232	0.3243966514
233	0.3237328959
234	0.3231420744
235	0.3226487878
236	0.3221276029
237	0.3217937675
238	0.3211763704
239	0.3207305597
240	0.3205060869
241	0.3197697153
242	0.3194052408
243	0.3188524042
244	0.3183481732
245	0.317746511
246	0.317223025
247	0.316604494
248	0.3162395479
249	0.3156639545
250	0.3153070372
251	0.3148745704
252	0.3145187479
253	0.3141890367
254	0.3138413345
255	0.3134887213
256	0.313118986
257	0.3126735709
258	0.3119973856
259	0.3116984479
260	0.3112314457
261	0.3106976176
262	0.3100473407
263	0.3096989118
264	0.3093890566
265	0.3090762975
266	0.3087131
267	0.3081060584
268	0.3076403349
269	0.3072407578
270	0.3066820707
271	0.3061567574
272	0.305681642
273	0.3050516803
274	0.304619448
275	0.304133177
276	0.303809455
277	0.3033629695
278	0.3028970148
279	0.3027004989
280	0.3024437858
281	0.3021420912
282	0.3018274011
283	0.3014434483
284	0.3008187623
285	0.3003520152
286	0.2999718183
287	0.2995544791
288	0.2991062661
289	0.2987583414
290	0.2983643602
291	0.2981403086
292	0.2977732885
293	0.2974678045
294	0.2971544034
295	0.2965946739
296	0.2962788748
297	0.2957754754
298	0.2954259331
299	0.2949872956
300	0.2945878393
301	0.2943262327
302	0.2939808726
303	0.2934334712
304	0.2931515922
305	0.2927317124
306	0.2921946288
307	0.2917453613
308	0.2914853174
309	0.29101015
310	0.2907315039
311	0.2904654068
312	0.2900883801
313	0.2897464279
314	0.2892656027
315	0.2889162854
316	0.2886690255
317	0.2883660079
318	0.2879294105
319	0.2875095737
320	0.2872834238
321	0.2867707893
322	0.2862057872
323	0.2857966623
324	0.2853186702
325	0.2850370197
326	0.284704226
327	0.2843496372
328	0.2838666337
329	0.2835636168
330	0.2833764223
331	0.2830582959
332	0.2828177072
333	0.2824796084
334	0.2820146949
335	0.2817210274
336	0.2814861417
337	0.2811822855
338	0.2808212416
339	0.2805039593
340	0.2800277596
341	0.2796452493
342	0.2792884309
343	0.2789085797
344	0.2786741712
345	0.2784330224
346	0.2779673425
347	0.2776082374
348	0.2771485179
349	0.2767119888
350	0.2763946355
351	0.2761393986
352	0.2757637653
353	0.2753026088
354	0.2749020552
355	0.2744756157
356	0.2739967737
357	0.2736590849
358	0.2733364765
359	0.2727875245
360	0.2721015479
361	0.2716491775
362	0.2711076739
363	0.270935472
364	0.2707121482
365	0.2704216531
366	0.2699524245
367	0.2695764546
368	0.2694072956
369	0.2690935587
370	0.268715149
371	0.2682691136
372	0.2679837185
373	0.2675140518
374	0.2672257452
375	0.2667266409
376	0.266353494
377	0.2661014481
378	0.2657260533
379	0.2653704402
380	0.2650904906
381	0.2646883895
382	0.2642410593
383	0.2640986662
384	0.2638254153
385	0.2635054599
386	0.2631504742
387	0.2627071804
388	0.2624210979
389	0.2619858545
390	0.2617777162
391	0.2615630947
392	0.2612147323
393	0.2608737264
394	0.2605795246
395	0.2602094424
396	0.2598970713
397	0.2596871863
398	0.2592760531
399	0.2590419725
400	0.2587840705
401	0.2584619487
402	0.2579749793
403	0.2577774922
404	0.2574574148
405	0.2572516061
406	0.256901873
407	0.2564164302
408	0.2560962162
409	0.2559309883
410	0.2554504204
411	0.2550532519
412	0.2548109972
413	0.2543257329
414	0.2538746624
415	0.2536955421
416	0.2534922922
417	0.2532644296
418	0.2529751409
419	0.252619163
420	0.252147973
421	0.2518174388
422	0.2514922463
423	0.2511232301
424	0.2508409618
425	0.2504930894
426	0.2500826811
427	0.2498104877
428	0.2495457
429	0.2492233531
430	0.249021491
431	0.2486303099
432	0.248379824
433	0.2482050562
434	0.2478199447
435	0.2476018127
436	0.2472900589
437	0.2469887621
438	0.2467218468
439	0.246486447
440	0.2461712021
441	0.2458492668
442	0.2456185541
443	0.2454723442
444	0.2451297054
445	0.2447964462
446	0.2443656884
447	0.2441293797
448	0.2439187775
449	0.2436085907
450	0.2433643203
451	0.2429297764
452	0.24270422
453	0.2424128767
454	0.2421447135
455	0.2419091797
456	0.2415908443
457	0.2414187265
458	0.2409894077
459	0.2407575391
460	0.2405229056
461	0.2403372938
462	0.2401480213
463	0.2397788766
464	0.2394903152
465	0.2392614485
466	0.2391079536
467	0.2387923034
468	0.2384711771
469	0.2382364244
470	0.2379093642
471	0.2376295612
472	0.237386659
473	0.2371505076
474	0.2369175662
475	0.2365590501
476	0.2362388907
477	0.2361024512
478	0.2356961332
479	0.2355154868
480	0.2353765155
481	0.2352520692
482	0.2350878665
483	0.2347817973
484	0.2346099283
485	0.2341402608
486	0.2340134905
487	0.2337860611
488	0.2335913053
489	0.2334453484
490	0.2331871787
491	0.2329268971
492	0.2326960088
493	0.2323339415
494	0.2319410878
495	0.2316487638
496	0.2312057582
497	0.2309715916
498	0.2308590105
499	0.2306388199
