id,WELL,DEPTH,SP,GR,AC,label
1,2,1220.0,55.34,119.55,338.77,0
2,2,1220.13,54.89,116.95,328.76,0
3,2,1220.25,53.92,114.87,306.96,0
4,2,1220.38,53.42,115.26,301.55,0
5,2,1220.5,52.36,115.35,304.39,0
6,2,1220.63,51.25,109.54,305.33,0
7,2,1220.75,50.68,104.62,301.99,0
8,2,1220.88,49.51,95.02,292.24,0
9,2,1221.0,48.33,89.07,283.91,0
10,2,1221.13,47.75,87.35,284.02,0
11,2,1221.25,46.6,85.94,297.14,0
12,2,1221.38,45.51,87.56,318.08,0
13,2,1221.5,44.99,89.43,326.4,0
14,2,1221.63,44.03,94.16,334.14,0
15,2,1221.75,43.17,98.42,331.08,0
16,2,1221.88,42.78,100.12,326.8,0
17,2,1222.0,42.12,102.76,316.84,0
18,2,1222.13,41.84,103.24,312.61,0
19,2,1222.25,41.39,100.9,308.2,0
20,2,1222.38,41.1,94.68,311.0,0
21,2,1222.5,41.03,91.29,314.41,0
22,2,1222.63,41.04,86.34,322.95,0
23,2,1222.75,41.27,83.66,333.45,0
24,2,1222.88,41.48,82.64,339.04,0
25,2,1223.0,42.09,80.83,347.64,0
26,2,1223.13,42.98,80.81,347.99,0
27,2,1223.25,43.53,82.53,344.62,0
28,2,1223.38,44.82,90.01,333.74,0
29,2,1223.5,45.55,95.15,327.57,0
30,2,1223.63,47.14,106.13,317.59,0
31,2,1223.75,48.87,116.15,315.55,2
32,2,1223.88,49.76,120.23,317.54,2
33,2,1224.0,51.55,125.79,324.78,2
34,2,1224.13,53.3,128.0,331.8,2
35,2,1224.25,54.13,128.04,333.23,2
36,2,1224.38,55.7,126.34,331.64,2
37,2,1224.5,57.08,123.83,327.61,2
38,2,1224.63,57.7,123.49,325.22,2
39,2,1224.75,58.77,126.34,320.63,2
40,2,1224.88,59.62,131.67,321.26,2
41,2,1225.0,59.97,133.73,324.69,2
42,2,1225.13,60.52,134.34,334.28,2
43,2,1225.25,60.73,132.7,338.15,2
44,2,1225.38,61.02,126.9,340.44,2
45,2,1225.5,61.18,120.45,331.26,2
46,2,1225.63,61.22,118.23,322.41,2
47,2,1225.75,61.25,118.01,307.37,2
48,2,1225.88,61.22,123.09,309.33,2
49,2,1226.0,61.2,126.02,316.84,2
50,2,1226.13,61.14,129.65,342.89,2
51,2,1226.25,61.09,130.28,374.5,2
52,2,1226.38,61.07,129.69,385.35,2
53,2,1226.5,61.05,126.19,386.57,2
54,2,1226.63,61.05,123.47,375.81,2
55,2,1226.75,61.06,120.02,340.15,2
56,2,1226.88,61.1,123.32,310.78,2
57,2,1227.0,61.13,126.37,302.76,2
58,2,1227.13,61.2,130.27,297.66,2
59,2,1227.25,61.28,130.53,310.09,2
60,2,1227.38,61.33,130.74,320.33,2
61,2,1227.5,61.41,133.09,337.77,2
62,2,1227.63,61.47,135.26,349.15,2
63,2,1227.75,61.5,134.67,353.05,2
64,2,1227.88,61.53,129.07,353.87,2
65,2,1228.0,61.54,120.68,342.74,0
66,2,1228.13,61.54,116.87,334.27,0
67,2,1228.25,61.53,111.77,318.39,0
68,2,1228.38,61.52,110.52,312.29,0
69,2,1228.5,61.51,108.88,305.42,0
70,2,1228.63,61.51,106.42,305.49,0
71,2,1228.75,61.51,105.35,305.15,0
72,2,1228.88,61.54,107.82,299.72,0
73,2,1229.0,61.6,120.74,293.96,2
74,2,1229.13,61.65,129.81,293.55,2
75,2,1229.25,61.75,145.62,300.5,2
76,2,1229.38,61.88,151.95,314.73,2
77,2,1229.5,61.95,151.61,322.03,2
78,2,1229.63,62.1,147.52,334.75,2
79,2,1229.75,62.26,143.93,343.74,2
80,2,1229.88,62.33,143.16,346.75,2
81,2,1230.0,62.48,143.07,350.54,2
82,2,1230.13,62.55,143.05,351.33,2
83,2,1230.25,62.68,142.46,351.67,2
84,2,1230.38,62.79,142.93,350.07,2
85,2,1230.5,62.84,144.13,347.22,2
86,2,1230.63,62.92,148.91,342.75,2
87,2,1230.75,62.99,157.72,352.49,2
88,2,1230.88,63.03,163.23,362.05,2
89,2,1231.0,63.09,172.67,380.84,2
90,2,1231.13,63.15,174.04,392.73,2
91,2,1231.25,63.19,170.86,394.63,2
92,2,1231.38,63.27,159.1,385.42,2
93,2,1231.5,63.31,152.2,373.91,2
94,2,1231.63,63.4,140.5,346.4,2
95,2,1231.75,63.48,135.42,327.25,2
96,2,1231.88,63.52,135.46,321.96,2
97,2,1232.0,63.57,137.56,317.46,2
98,2,1232.13,63.57,138.69,318.97,2
99,2,1232.25,63.56,138.84,321.0,2
100,2,1232.38,63.48,140.25,330.48,2
101,2,1232.5,63.35,142.16,348.94,2
102,2,1232.63,63.26,142.26,356.63,2
103,2,1232.75,63.07,141.41,363.21,2
104,2,1232.88,62.85,141.23,361.29,2
105,2,1233.0,62.74,141.15,355.32,2
106,2,1233.13,62.52,139.99,337.49,2
107,2,1233.25,62.42,139.31,331.4,2
108,2,1233.38,62.23,139.69,329.63,2
109,2,1233.5,62.07,141.94,337.73,2
110,2,1233.63,61.99,143.04,344.22,2
111,2,1233.75,61.86,144.86,354.65,2
112,2,1233.88,61.73,147.01,360.53,2
113,2,1234.0,61.67,148.24,365.85,2
114,2,1234.13,61.55,150.63,384.3,2
115,2,1234.25,61.43,151.33,398.1,2
116,2,1234.38,61.37,150.45,398.7,2
117,2,1234.5,61.26,146.94,395.28,2
118,2,1234.63,61.21,145.28,394.44,2
119,2,1234.75,61.13,143.94,391.56,2
120,2,1234.88,61.08,145.19,390.72,2
121,2,1235.0,61.07,146.22,392.85,2
122,2,1235.13,61.08,148.84,394.5,2
123,2,1235.25,61.11,152.2,388.16,2
124,2,1235.38,61.13,153.75,383.44,2
125,2,1235.5,61.2,155.05,374.98,2
126,2,1235.63,61.27,153.29,377.98,2
127,2,1235.75,61.31,151.7,384.22,2
128,2,1235.88,61.38,148.66,393.42,2
129,2,1236.0,61.45,146.92,384.8,2
130,2,1236.13,61.48,147.14,377.34,2
131,2,1236.25,61.53,150.52,369.27,2
132,2,1236.38,61.55,153.35,367.36,2
133,2,1236.5,61.56,158.74,364.43,2
134,2,1236.63,61.55,160.67,373.73,2
135,2,1236.75,61.53,160.58,379.78,2
136,2,1236.88,61.46,161.55,381.48,2
137,2,1237.0,61.36,165.79,379.33,2
138,2,1237.13,61.31,167.91,380.07,2
139,2,1237.25,61.18,166.86,381.27,2
140,2,1237.38,61.05,155.77,371.59,2
141,2,1237.5,60.98,148.35,360.97,0
142,2,1237.63,60.87,136.67,340.7,0
143,2,1237.75,60.82,133.99,332.92,0
144,2,1237.88,60.76,134.27,315.4,0
145,2,1238.0,60.73,138.09,307.97,0
146,2,1238.13,60.74,140.84,309.75,0
147,2,1238.25,60.78,149.71,304.25,0
148,2,1238.38,60.85,162.74,286.04,0
149,2,1238.5,60.9,169.33,279.64,2
150,2,1238.63,61.02,177.91,274.49,2
151,2,1238.75,61.17,176.1,280.06,2
152,2,1238.88,61.25,171.85,288.99,2
153,2,1239.0,61.42,161.6,315.22,2
154,2,1239.13,61.62,154.62,337.82,2
155,2,1239.25,61.73,152.34,342.35,2
156,2,1239.38,61.96,146.9,337.14,2
157,2,1239.5,62.08,143.51,330.42,0
158,2,1239.63,62.32,137.29,311.71,0
159,2,1239.75,62.56,133.4,290.63,0
160,2,1239.88,62.66,132.0,285.75,0
161,2,1240.0,62.85,129.33,288.87,0
162,2,1240.13,63.0,127.03,292.84,0
163,2,1240.25,63.05,126.38,294.15,0
164,2,1240.38,63.12,126.23,300.29,0
165,2,1240.5,63.15,127.08,306.82,0
166,2,1240.63,63.15,127.49,307.99,0
167,2,1240.75,63.14,128.14,307.43,0
168,2,1240.88,63.11,129.1,305.53,0
169,2,1241.0,63.1,129.93,303.33,0
170,2,1241.13,63.07,131.52,297.89,0
171,2,1241.25,63.05,131.65,296.98,0
172,2,1241.38,63.0,129.55,300.13,0
173,2,1241.5,62.92,126.26,305.23,0
174,2,1241.63,62.87,125.11,307.25,0
175,2,1241.75,62.73,124.02,310.24,0
176,2,1241.88,62.53,123.1,313.89,0
177,2,1242.0,62.4,122.48,316.09,0
178,2,1242.13,62.07,120.78,318.89,0
179,2,1242.25,61.67,116.88,317.46,0
180,2,1242.38,61.45,113.7,315.22,0
181,2,1242.5,60.96,105.42,308.62,0
182,2,1242.63,60.71,100.8,304.06,0
183,2,1242.75,60.22,92.59,292.91,0
184,2,1242.88,59.78,88.67,286.94,0
185,2,1243.0,59.59,89.01,286.95,0
186,2,1243.13,59.3,93.94,287.72,0
187,2,1243.25,59.15,102.34,291.71,0
188,2,1243.38,59.13,106.89,296.47,0
189,2,1243.5,59.21,113.9,305.14,0
190,2,1243.63,59.43,116.22,309.52,0
191,2,1243.75,59.59,116.02,311.6,0
192,2,1243.88,60.0,115.46,312.92,0
193,2,1244.0,60.48,116.76,309.93,0
194,2,1244.13,60.74,117.98,309.59,0
195,2,1244.25,61.28,120.35,311.84,0
196,2,1244.38,61.55,121.23,313.23,0
197,2,1244.5,62.07,122.36,316.94,0
198,2,1244.63,62.53,123.57,320.06,0
199,2,1244.75,62.73,124.4,319.21,0
200,2,1244.88,63.06,125.74,314.87,0
201,2,1245.0,63.29,125.34,311.37,0
202,2,1245.13,63.37,124.56,309.94,0
203,2,1245.25,63.45,123.63,313.2,0
204,2,1245.38,63.46,125.28,324.3,0
205,2,1245.5,63.43,126.62,327.25,0
206,2,1245.63,63.35,128.98,327.61,0
207,2,1245.75,63.29,129.92,328.53,0
208,2,1245.88,63.16,131.2,328.94,0
209,2,1246.0,63.02,131.07,323.37,0
210,2,1246.13,62.95,130.05,321.13,0
211,2,1246.25,62.82,126.29,316.78,0
212,2,1246.38,62.72,123.27,313.47,0
213,2,1246.5,62.67,123.5,316.45,0
214,2,1246.63,62.61,127.84,329.12,0
215,2,1246.75,62.58,132.87,340.36,0
216,2,1246.88,62.58,134.0,345.18,0
217,2,1247.0,62.6,134.22,349.28,0
218,2,1247.13,62.65,134.59,340.9,0
219,2,1247.25,62.68,135.46,335.49,0
220,2,1247.38,62.74,138.79,328.1,0
221,2,1247.5,62.77,140.79,326.5,0
222,2,1247.63,62.82,142.87,331.76,0
223,2,1247.75,62.83,140.19,346.5,0
224,2,1247.88,62.83,137.65,352.89,0
225,2,1248.0,62.78,133.19,360.43,0
226,2,1248.13,62.7,130.66,360.79,0
227,2,1248.25,62.65,129.44,357.49,0
228,2,1248.38,62.54,126.56,349.57,0
229,2,1248.5,62.41,124.47,349.73,0
230,2,1248.63,62.35,124.36,353.65,0
231,2,1248.75,62.23,125.7,368.5,0
232,2,1248.88,62.16,126.47,375.08,0
233,2,1249.0,62.04,127.05,374.22,0
234,2,1249.13,61.92,128.0,364.94,0
235,2,1249.25,61.86,129.45,363.14,0
236,2,1249.38,61.73,133.66,361.86,0
237,2,1249.5,61.6,136.02,363.46,0
238,2,1249.63,61.53,135.59,366.95,0
239,2,1249.75,61.39,132.66,375.22,0
240,2,1249.88,61.26,129.71,380.98,0
241,2,1250.0,61.2,128.69,382.24,0
242,2,1250.13,61.08,127.82,375.76,0
243,2,1250.25,60.98,128.02,359.7,0
244,2,1250.38,60.94,128.35,353.67,0
245,2,1250.5,60.88,129.89,348.87,0
246,2,1250.63,60.85,131.0,346.99,0
247,2,1250.75,60.81,132.97,346.03,0
248,2,1250.88,60.78,134.49,359.32,0
249,2,1251.0,60.76,135.78,366.06,0
